(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn
A,13/02/1985,0,0,0,5.615,5.615
A,14/02/1985,0,0,0,5.59,5.59
A,15/02/1985,0,0,0,5.565,5.565
A,16/02/1985,0,0,0,5.54,5.54
A,17/02/1985,0,0,0,5.495,5.495
A,18/02/1985,0,0,0,5.45,5.45
A,19/02/1985,0,0,0,5.405,5.405
A,20/02/1985,0,0,0,5.36,5.36
A,21/02/1985,0,0,0,5.315,5.315
A,22/02/1985,0,0,0,5.27,5.27
A,23/02/1985,0,0,0,5.225,5.225
A,24/02/1985,0,0,0,5.181,5.181
A,25/02/1985,0.300000012,0,0.300000012,5.136,5.136
A,26/02/1985,0,0,0,5.091,5.091
A,27/02/1985,0,0,0,5.046,5.046
A,28/02/1985,0,0,0,5.001,5.001
A,1/03/1985,0,0,0,4.956,4.956
A,2/03/1985,0,0,0,4.911,4.911
A,3/03/1985,0.449999988,0,0.449999988,4.866,4.866
A,4/03/1985,0.100000001,0,0.100000001,4.821,4.821
A,5/03/1985,1.049999952,0,1.049999952,4.776,4.776
A,6/03/1985,0,0,0,4.731,4.731
A,7/03/1985,0,0,0,4.687,4.687
A,8/03/1985,0,0,0,4.642,4.642
A,9/03/1985,0,0,0,4.597,4.597
A,10/03/1985,0,0,0,4.552,4.552
A,11/03/1985,0,0,0,4.507,4.507
A,12/03/1985,0,0,0,4.462,4.462
A,13/03/1985,0,0,0,4.417,4.417
A,14/03/1985,0.950000048,0,0.950000048,4.372,4.372
A,15/03/1985,67.84999847,0,67.84999847,4.327,4.327
A,16/03/1985,1.25,0,1.25,4.282,4.282
A,17/03/1985,0.600000024,0,0.600000024,4.222,4.222
A,18/03/1985,0,0,0,4.162,4.162
A,19/03/1985,0,0,0,4.102,4.102
A,20/03/1985,0,0,0,4.042,4.042
A,21/03/1985,0,0,0,3.982,3.982
A,22/03/1985,0,0,0,3.921,3.921
A,23/03/1985,0,0,0,3.861,3.861
A,24/03/1985,0,0,0,3.801,3.801
A,25/03/1985,0,0,0,3.741,3.741
A,26/03/1985,0,0,0,3.681,3.681
A,27/03/1985,0,0,0,3.621,3.621
A,28/03/1985,0,0,0,3.56,3.56
A,29/03/1985,0,0,0,3.5,3.5
A,30/03/1985,0,0,0,3.44,3.44
A,31/03/1985,1.399999976,0,1.399999976,3.38,3.38
A,1/04/1985,2.25,0,2.25,3.32,3.32
A,2/04/1985,0.150000006,0,0.150000006,3.26,3.26
A,3/04/1985,0.050000001,0,0.050000001,3.199,3.199
A,4/04/1985,1.349999905,0,1.349999905,3.139,3.139
A,5/04/1985,0.100000001,0,0.100000001,3.079,3.079
A,6/04/1985,0,0,0,3.019,3.019
A,7/04/1985,0,0,0,2.959,2.959
A,8/04/1985,0,0,0,2.899,2.899
A,9/04/1985,0,0,0,2.838,2.838
A,10/04/1985,0,0,0,2.778,2.778
A,11/04/1985,0,0,0,2.718,2.718
A,12/04/1985,0,0,0,2.658,2.658
A,13/04/1985,27.60000038,0,27.60000038,2.598,2.598
A,14/04/1985,36.15000153,0,36.15000153,2.538,2.538
A,15/04/1985,4.899999619,0,4.899999619,2.477,2.477
A,16/04/1985,6.300000191,0,6.300000191,2.417,2.417
A,17/04/1985,3.450000048,0,3.450000048,2.378,2.378
A,18/04/1985,2.400000095,0,2.400000095,2.339,2.339
A,19/04/1985,0.350000024,0,0.350000024,2.299,2.299
A,20/04/1985,0,0,0,2.26,2.26
A,21/04/1985,0,0,0,2.221,2.221
A,22/04/1985,0,0,0,2.181,2.181
A,23/04/1985,0,0,0,2.142,2.142
A,24/04/1985,0.25,0,0.25,2.103,2.103
A,25/04/1985,0,0,0,2.063,2.063
A,26/04/1985,0,0,0,2.024,2.024
A,27/04/1985,0,0,0,1.985,1.985
A,28/04/1985,0,0,0,1.945,1.945
A,29/04/1985,0,0,0,1.906,1.906
A,30/04/1985,0,0,0,1.867,1.867
A,1/05/1985,0,0,0,1.827,1.827
A,2/05/1985,0.300000012,0,0.300000012,1.788,1.788
A,3/05/1985,0,0,0,1.749,1.749
A,4/05/1985,1.149999976,0,1.149999976,1.709,1.709
A,5/05/1985,9.149999619,0,9.149999619,1.67,1.67
A,6/05/1985,4.149999619,0,4.149999619,1.631,1.631
A,7/05/1985,8.75,0,8.75,1.591,1.591
A,8/05/1985,2.849999905,0,2.849999905,1.552,1.552
A,9/05/1985,4.199999809,0,4.199999809,1.513,1.513
A,10/05/1985,2.449999809,0,2.449999809,1.473,1.473
A,11/05/1985,0,0,0,1.434,1.434
A,12/05/1985,0,0,0,1.395,1.395
A,13/05/1985,0.700000048,0,0.700000048,1.355,1.355
A,14/05/1985,6.550000191,0,6.550000191,1.316,1.316
A,15/05/1985,24.34999847,0,24.34999847,1.277,1.277
A,16/05/1985,0.150000006,0,0.150000006,1.237,1.237
A,17/05/1985,19.95000076,0,19.95000076,1.221,1.221
A,18/05/1985,4,0,4,1.205,1.205
A,19/05/1985,0.050000001,0,0.050000001,1.189,1.189
A,20/05/1985,0.350000024,0,0.350000024,1.173,1.173
A,21/05/1985,0,0,0,1.157,1.157
A,22/05/1985,0.350000024,0,0.350000024,1.141,1.141
A,23/05/1985,0,0,0,1.124,1.124
A,24/05/1985,0,0,0,1.108,1.108
A,25/05/1985,0,0,0,1.092,1.092
A,26/05/1985,0,0,0,1.076,1.076
A,27/05/1985,23.25,0,23.25,1.06,1.06
A,28/05/1985,15.10000038,0,15.10000038,1.044,1.044
A,29/05/1985,1,0,1,1.028,1.028
A,30/05/1985,5.25,0,5.25,1.012,1.012
A,31/05/1985,0.050000001,0,0.050000001,0.996,0.996
A,1/06/1985,8.149999619,0,8.149999619,0.979,0.979
A,2/06/1985,12.25,0,12.25,0.963,0.963
A,3/06/1985,34.20000076,0,34.20000076,0.947,0.947
A,4/06/1985,6.5,0,6.5,0.931,0.931
A,5/06/1985,1.5,0,1.5,0.915,0.915
A,6/06/1985,0,0,0,0.899,0.899
A,7/06/1985,0.100000001,0,0.100000001,0.883,0.883
A,8/06/1985,3.450000048,0,3.450000048,0.867,0.867
A,9/06/1985,3.5,0,3.5,0.85,0.85
A,10/06/1985,9.700000763,0,9.700000763,0.834,0.834
A,11/06/1985,8,0,8,0.818,0.818
A,12/06/1985,0.300000012,0,0.300000012,0.802,0.802
A,13/06/1985,2.299999952,0,2.299999952,0.786,0.786
A,14/06/1985,0.25,0,0.25,0.77,0.77
A,15/06/1985,1.75,0,1.75,0.754,0.754
A,16/06/1985,0.150000006,0,0.150000006,0.738,0.738
A,17/06/1985,1.149999976,0,1.149999976,0.743,0.743
A,18/06/1985,6.199999809,0,6.199999809,0.748,0.748
A,19/06/1985,7.700000286,0,7.700000286,0.753,0.753
A,20/06/1985,2.449999809,0,2.449999809,0.758,0.758
A,21/06/1985,0.450000018,0,0.450000018,0.763,0.763
A,22/06/1985,0.100000001,0,0.100000001,0.768,0.768
A,23/06/1985,0.450000018,0,0.450000018,0.773,0.773
A,24/06/1985,1.100000024,0,1.100000024,0.778,0.778
A,25/06/1985,0.050000001,0,0.050000001,0.783,0.783
A,26/06/1985,0.5,0,0.5,0.788,0.788
A,27/06/1985,0,0,0,0.793,0.793
A,28/06/1985,0,0,0,0.798,0.798
A,29/06/1985,0,0,0,0.803,0.803
A,30/06/1985,0,0,0,0.808,0.808
A,1/07/1985,0,0,0,0.813,0.813
A,2/07/1985,0,0,0,0.818,0.818
A,3/07/1985,0,0,0,0.823,0.823
A,4/07/1985,0,0,0,0.828,0.828
A,5/07/1985,0,0,0,0.833,0.833
A,6/07/1985,0,0,0,0.838,0.838
A,7/07/1985,0.150000006,0,0.150000006,0.843,0.843
A,8/07/1985,0.050000001,0,0.050000001,0.848,0.848
A,9/07/1985,0.050000001,0,0.050000001,0.853,0.853
A,10/07/1985,0,0,0,0.858,0.858
A,11/07/1985,0,0,0,0.863,0.863
A,12/07/1985,0,0,0,0.868,0.868
A,13/07/1985,0,0,0,0.873,0.873
A,14/07/1985,22.20000076,0,22.20000076,0.878,0.878
A,15/07/1985,10.64999962,0,10.64999962,0.883,0.883
A,16/07/1985,7.75,0,7.75,0.888,0.888
A,17/07/1985,1.299999952,0,1.299999952,0.909,0.909
A,18/07/1985,0,0,0,0.929,0.929
A,19/07/1985,0,0,0,0.949,0.949
A,20/07/1985,27.70000076,0,27.70000076,0.969,0.969
A,21/07/1985,4.699999809,0,4.699999809,0.989,0.989
A,22/07/1985,0.899999976,0,0.899999976,1.009,1.009
A,23/07/1985,0,0,0,1.029,1.029
A,24/07/1985,1.450000048,0,1.450000048,1.049,1.049
A,25/07/1985,0.449999988,0,0.449999988,1.069,1.069
A,26/07/1985,0.100000001,0,0.100000001,1.09,1.09
A,27/07/1985,0.300000012,0,0.300000012,1.11,1.11
A,28/07/1985,17.95000076,0,17.95000076,1.13,1.13
A,29/07/1985,5.599999905,0,5.599999905,1.15,1.15
A,30/07/1985,0.949999988,0,0.949999988,1.17,1.17
A,31/07/1985,0.800000012,0,0.800000012,1.19,1.19
A,1/08/1985,0,0,0,1.21,1.21
A,2/08/1985,5.300000191,0,5.300000191,1.23,1.23
A,3/08/1985,5.5,0,5.5,1.25,1.25
A,4/08/1985,11.35000038,0,11.35000038,1.271,1.271
A,5/08/1985,6.449999809,0,6.449999809,1.291,1.291
A,6/08/1985,40.65000153,0,40.65000153,1.311,1.311
A,7/08/1985,1.849999905,0,1.849999905,1.331,1.331
A,8/08/1985,0.400000006,0,0.400000006,1.351,1.351
A,9/08/1985,0.800000012,0,0.800000012,1.371,1.371
A,10/08/1985,1.399999976,0,1.399999976,1.391,1.391
A,11/08/1985,1.350000024,0,1.350000024,1.411,1.411
A,12/08/1985,1.299999952,0,1.299999952,1.431,1.431
A,13/08/1985,6.100000381,0,6.100000381,1.452,1.452
A,14/08/1985,0.75,0,0.75,1.472,1.472
A,15/08/1985,11.5,0,11.5,1.492,1.492
A,16/08/1985,5.849999905,0,5.849999905,1.512,1.512
A,17/08/1985,3.150000095,0,3.150000095,1.54,1.54
A,18/08/1985,0.449999988,0,0.449999988,1.569,1.569
A,19/08/1985,0,0,0,1.597,1.597
A,20/08/1985,4.699999809,0,4.699999809,1.625,1.625
A,21/08/1985,7.25,0,7.25,1.654,1.654
A,22/08/1985,11.60000038,0,11.60000038,1.682,1.682
A,23/08/1985,0.649999976,0,0.649999976,1.711,1.711
A,24/08/1985,0.150000006,0,0.150000006,1.739,1.739
A,25/08/1985,8.950000763,0,8.950000763,1.767,1.767
A,26/08/1985,1.700000048,0,1.700000048,1.796,1.796
A,27/08/1985,13.75,0,13.75,1.824,1.824
A,28/08/1985,0.350000024,0,0.350000024,1.853,1.853
A,29/08/1985,0,0,0,1.881,1.881
A,30/08/1985,0.200000003,0,0.200000003,1.909,1.909
A,31/08/1985,7.050000191,0,7.050000191,1.938,1.938
A,1/09/1985,3.25,0,3.25,1.966,1.966
A,2/09/1985,2,0,2,1.994,1.994
A,3/09/1985,0,0,0,2.023,2.023
A,4/09/1985,0,0,0,2.051,2.051
A,5/09/1985,0,0,0,2.08,2.08
A,6/09/1985,0,0,0,2.108,2.108
A,7/09/1985,0,0,0,2.136,2.136
A,8/09/1985,0,0,0,2.165,2.165
A,9/09/1985,49.34999847,0,49.34999847,2.193,2.193
A,10/09/1985,8.25,0,8.25,2.222,2.222
A,11/09/1985,0.25,0,0.25,2.25,2.25
A,12/09/1985,12.55000019,0,12.55000019,2.278,2.278
A,13/09/1985,2.849999905,0,2.849999905,2.307,2.307
A,14/09/1985,0.150000006,0,0.150000006,2.335,2.335
A,15/09/1985,0.850000024,0,0.850000024,2.364,2.364
A,16/09/1985,0.100000001,0,0.100000001,2.392,2.392
A,17/09/1985,3.599999905,0,3.599999905,2.437,2.437
A,18/09/1985,0.400000006,0,0.400000006,2.481,2.481
A,19/09/1985,0.450000018,0,0.450000018,2.526,2.526
A,20/09/1985,0.300000012,0,0.300000012,2.571,2.571
A,21/09/1985,0,0,0,2.616,2.616
A,22/09/1985,0,0,0,2.66,2.66
A,23/09/1985,0.449999988,0,0.449999988,2.705,2.705
A,24/09/1985,9,0,9,2.75,2.75
A,25/09/1985,8.25,0,8.25,2.795,2.795
A,26/09/1985,1.049999952,0,1.049999952,2.839,2.839
A,27/09/1985,1.450000048,0,1.450000048,2.884,2.884
A,28/09/1985,0.100000001,0,0.100000001,2.929,2.929
A,29/09/1985,0,0,0,2.974,2.974
A,30/09/1985,0,0,0,3.018,3.018
A,1/10/1985,0,0,0,3.063,3.063
A,2/10/1985,0,0,0,3.108,3.108
A,3/10/1985,0,0,0,3.153,3.153
A,4/10/1985,3.950000048,0,3.950000048,3.197,3.197
A,5/10/1985,0,0,0,3.242,3.242
A,6/10/1985,0.100000001,0,0.100000001,3.287,3.287
A,7/10/1985,0,0,0,3.332,3.332
A,8/10/1985,0,0,0,3.376,3.376
A,9/10/1985,0,0,0,3.421,3.421
A,10/10/1985,0.850000024,0,0.850000024,3.466,3.466
A,11/10/1985,1.950000048,0,1.950000048,3.511,3.511
A,12/10/1985,0.100000001,0,0.100000001,3.555,3.555
A,13/10/1985,0,0,0,3.6,3.6
A,14/10/1985,1.450000048,0,1.450000048,3.645,3.645
A,15/10/1985,13.60000038,0,13.60000038,3.689,3.689
A,16/10/1985,5.599999905,0,5.599999905,3.734,3.734
A,17/10/1985,7,0,7,3.777,3.777
A,18/10/1985,2.349999905,0,2.349999905,3.82,3.82
A,19/10/1985,0,0,0,3.863,3.863
A,20/10/1985,0,0,0,3.906,3.906
A,21/10/1985,1.899999976,0,1.899999976,3.949,3.949
A,22/10/1985,11.55000019,0,11.55000019,3.992,3.992
A,23/10/1985,7.25,0,7.25,4.034,4.034
A,24/10/1985,0.350000024,0,0.350000024,4.077,4.077
A,25/10/1985,0,0,0,4.12,4.12
A,26/10/1985,0,0,0,4.163,4.163
A,27/10/1985,0,0,0,4.206,4.206
A,28/10/1985,0.5,0,0.5,4.249,4.249
A,29/10/1985,0.050000001,0,0.050000001,4.292,4.292
A,30/10/1985,0,0,0,4.335,4.335
A,31/10/1985,0,0,0,4.377,4.377
A,1/11/1985,0,0,0,4.42,4.42
A,2/11/1985,0,0,0,4.463,4.463
A,3/11/1985,0.200000003,0,0.200000003,4.506,4.506
A,4/11/1985,3.450000048,0,3.450000048,4.549,4.549
A,5/11/1985,0.200000003,0,0.200000003,4.592,4.592
A,6/11/1985,0,0,0,4.635,4.635
A,7/11/1985,0,0,0,4.678,4.678
A,8/11/1985,0,0,0,4.721,4.721
A,9/11/1985,0.699999988,0,0.699999988,4.763,4.763
A,10/11/1985,4.149999619,0,4.149999619,4.806,4.806
A,11/11/1985,0,0,0,4.849,4.849
A,12/11/1985,0,0,0,4.892,4.892
A,13/11/1985,0.950000048,0,0.950000048,4.935,4.935
A,14/11/1985,0,0,0,4.978,4.978
A,15/11/1985,0,0,0,5.021,5.021
A,16/11/1985,0.200000003,0,0.200000003,5.064,5.064
A,17/11/1985,0,0,0,5.08,5.08
A,18/11/1985,0,0,0,5.096,5.096
A,19/11/1985,0,0,0,5.113,5.113
A,20/11/1985,0,0,0,5.129,5.129
A,21/11/1985,0,0,0,5.145,5.145
A,22/11/1985,0,0,0,5.162,5.162
A,23/11/1985,1.200000048,0,1.200000048,5.178,5.178
A,24/11/1985,1.400000095,0,1.400000095,5.195,5.195
A,25/11/1985,15.89999962,0,15.89999962,5.211,5.211
A,26/11/1985,1.950000048,0,1.950000048,5.227,5.227
A,27/11/1985,0.349999994,0,0.349999994,5.244,5.244
A,28/11/1985,0.100000001,0,0.100000001,5.26,5.26
A,29/11/1985,0.200000003,0,0.200000003,5.276,5.276
A,30/11/1985,0.899999976,0,0.899999976,5.293,5.293
A,1/12/1985,0.300000012,0,0.300000012,5.309,5.309
A,2/12/1985,0,0,0,5.325,5.325
A,3/12/1985,0,0,0,5.342,5.342
A,4/12/1985,0.100000001,0,0.100000001,5.358,5.358
A,5/12/1985,0.699999988,0,0.699999988,5.375,5.375
A,6/12/1985,10.05000019,0,10.05000019,5.391,5.391
A,7/12/1985,15.39999962,0,15.39999962,5.407,5.407
A,8/12/1985,13.94999981,0,13.94999981,5.424,5.424
A,9/12/1985,9.649999619,0,9.649999619,5.44,5.44
A,10/12/1985,0.400000006,0,0.400000006,5.456,5.456
A,11/12/1985,0,0,0,5.473,5.473
A,12/12/1985,0.050000001,0,0.050000001,5.489,5.489
A,13/12/1985,0,0,0,5.506,5.506
A,14/12/1985,0,0,0,5.522,5.522
A,15/12/1985,4.150000095,0,4.150000095,5.538,5.538
A,16/12/1985,1.650000095,0,1.650000095,5.555,5.555
A,17/12/1985,0.899999976,0,0.899999976,5.573,5.573
A,18/12/1985,0,0,0,5.591,5.591
A,19/12/1985,0.300000012,0,0.300000012,5.609,5.609
A,20/12/1985,3.450000048,0,3.450000048,5.627,5.627
A,21/12/1985,2.550000191,0,2.550000191,5.645,5.645
A,22/12/1985,1.549999952,0,1.549999952,5.664,5.664
A,23/12/1985,0.050000001,0,0.050000001,5.682,5.682
A,24/12/1985,0,0,0,5.7,5.7
A,25/12/1985,0.050000001,0,0.050000001,5.718,5.718
A,26/12/1985,0.5,0,0.5,5.736,5.736
A,27/12/1985,0,0,0,5.754,5.754
A,28/12/1985,0,0,0,5.772,5.772
A,29/12/1985,0,0,0,5.79,5.79
A,30/12/1985,0,0,0,5.809,5.809
A,31/12/1985,0,0,0,5.827,5.827
A,1/01/1986,0,0,0,5.845,5.845
A,2/01/1986,0,0,0,5.863,5.863
A,3/01/1986,0,0,0,5.881,5.881
A,4/01/1986,0,0,0,5.899,5.899
A,5/01/1986,0,0,0,5.917,5.917
A,6/01/1986,0,0,0,5.936,5.936
A,7/01/1986,0.100000001,0,0.100000001,5.954,5.954
A,8/01/1986,0,0,0,5.972,5.972
A,9/01/1986,0.150000006,0,0.150000006,5.99,5.99
A,10/01/1986,0,0,0,6.008,6.008
A,11/01/1986,0,0,0,6.026,6.026
A,12/01/1986,0,0,0,6.044,6.044
A,13/01/1986,0.25,0,0.25,6.063,6.063
A,14/01/1986,4.400000095,0,4.400000095,6.081,6.081
A,15/01/1986,4.699999809,0,4.699999809,6.099,6.099
A,16/01/1986,0.300000012,0,0.300000012,6.117,6.117
A,17/01/1986,0,0,0,6.096,6.096
A,18/01/1986,0,0,0,6.074,6.074
A,19/01/1986,0,0,0,6.053,6.053
A,20/01/1986,0,0,0,6.031,6.031
A,21/01/1986,0,0,0,6.01,6.01
A,22/01/1986,0,0,0,5.988,5.988
A,23/01/1986,0,0,0,5.967,5.967
A,24/01/1986,0,0,0,5.946,5.946
A,25/01/1986,0,0,0,5.924,5.924
A,26/01/1986,0,0,0,5.903,5.903
A,27/01/1986,0,0,0,5.881,5.881
A,28/01/1986,0,0,0,5.86,5.86
A,29/01/1986,0,0,0,5.838,5.838
A,30/01/1986,0,0,0,5.817,5.817
A,31/01/1986,0,0,0,5.795,5.795
A,1/02/1986,0,0,0,5.774,5.774
A,2/02/1986,0,0,0,5.753,5.753
A,3/02/1986,0,0,0,5.731,5.731
A,4/02/1986,0,0,0,5.71,5.71
A,5/02/1986,0,0,0,5.688,5.688
A,6/02/1986,0,0,0,5.667,5.667
A,7/02/1986,0,0,0,5.645,5.645
A,8/02/1986,0,0,0,5.624,5.624
A,9/02/1986,0,0,0,5.603,5.603
A,10/02/1986,0,0,0,5.581,5.581
A,11/02/1986,0,0,0,5.56,5.56
A,12/02/1986,0,0,0,5.538,5.538
A,13/02/1986,0.100000001,0,0.100000001,5.517,5.517
A,14/02/1986,0.949999988,0,0.949999988,5.495,5.495
A,15/02/1986,0.150000006,0,0.150000006,5.474,5.474
A,16/02/1986,0.850000024,0,0.850000024,5.453,5.453
A,17/02/1986,1.150000095,0,1.150000095,5.414,5.414
A,18/02/1986,0.25,0,0.25,5.376,5.376
A,19/02/1986,0,0,0,5.338,5.338
A,20/02/1986,0.100000001,0,0.100000001,5.3,5.3
A,21/02/1986,0,0,0,5.262,5.262
A,22/02/1986,0,0,0,5.224,5.224
A,23/02/1986,0,0,0,5.186,5.186
A,24/02/1986,0,0,0,5.148,5.148
A,25/02/1986,0,0,0,5.11,5.11
A,26/02/1986,0,0,0,5.072,5.072
A,27/02/1986,0,0,0,5.034,5.034
A,28/02/1986,0,0,0,4.996,4.996
A,1/03/1986,0,0,0,4.958,4.958
A,2/03/1986,0,0,0,4.92,4.92
A,3/03/1986,0,0,0,4.881,4.881
A,4/03/1986,0,0,0,4.843,4.843
A,5/03/1986,0,0,0,4.805,4.805
A,6/03/1986,0,0,0,4.767,4.767
A,7/03/1986,0.100000001,0,0.100000001,4.729,4.729
A,8/03/1986,0.700000048,0,0.700000048,4.691,4.691
A,9/03/1986,1.350000024,0,1.350000024,4.653,4.653
A,10/03/1986,0,0,0,4.615,4.615
A,11/03/1986,0,0,0,4.577,4.577
A,12/03/1986,0,0,0,4.539,4.539
A,13/03/1986,0,0,0,4.501,4.501
A,14/03/1986,0,0,0,4.463,4.463
A,15/03/1986,0.150000006,0,0.150000006,4.425,4.425
A,16/03/1986,0,0,0,4.386,4.386
A,17/03/1986,0,0,0,4.321,4.321
A,18/03/1986,0.050000001,0,0.050000001,4.256,4.256
A,19/03/1986,0,0,0,4.191,4.191
A,20/03/1986,0,0,0,4.126,4.126
A,21/03/1986,0,0,0,4.061,4.061
A,22/03/1986,0,0,0,3.996,3.996
A,23/03/1986,0,0,0,3.931,3.931
A,24/03/1986,0,0,0,3.866,3.866
A,25/03/1986,0,0,0,3.801,3.801
A,26/03/1986,0,0,0,3.736,3.736
A,27/03/1986,0,0,0,3.671,3.671
A,28/03/1986,0,0,0,3.606,3.606
A,29/03/1986,0,0,0,3.54,3.54
A,30/03/1986,0,0,0,3.475,3.475
A,31/03/1986,0,0,0,3.41,3.41
A,1/04/1986,0,0,0,3.345,3.345
A,2/04/1986,0,0,0,3.28,3.28
A,3/04/1986,0,0,0,3.215,3.215
A,4/04/1986,0,0,0,3.15,3.15
A,5/04/1986,0,0,0,3.085,3.085
A,6/04/1986,0,0,0,3.02,3.02
A,7/04/1986,0,0,0,2.955,2.955
A,8/04/1986,0,0,0,2.89,2.89
A,9/04/1986,0,0,0,2.825,2.825
A,10/04/1986,0.200000003,0,0.200000003,2.76,2.76
A,11/04/1986,0,0,0,2.694,2.694
A,12/04/1986,0,0,0,2.629,2.629
A,13/04/1986,0,0,0,2.564,2.564
A,14/04/1986,0.150000006,0,0.150000006,2.499,2.499
A,15/04/1986,45.90000153,0,45.90000153,2.434,2.434
A,16/04/1986,27.90000153,0,27.90000153,2.369,2.369
A,17/04/1986,4.050000191,0,4.050000191,2.332,2.332
A,18/04/1986,0.550000012,0,0.550000012,2.294,2.294
A,19/04/1986,2.099999905,0,2.099999905,2.257,2.257
A,20/04/1986,5.150000095,0,5.150000095,2.219,2.219
A,21/04/1986,5.5,0,5.5,2.182,2.182
A,22/04/1986,7,0,7,2.144,2.144
A,23/04/1986,8.700000763,0,8.700000763,2.107,2.107
A,24/04/1986,8.600000381,0,8.600000381,2.07,2.07
A,25/04/1986,1.799999952,0,1.799999952,2.032,2.032
A,26/04/1986,8.300000191,0,8.300000191,1.995,1.995
A,27/04/1986,2.099999905,0,2.099999905,1.957,1.957
A,28/04/1986,0.800000012,0,0.800000012,1.92,1.92
A,29/04/1986,1.149999976,0,1.149999976,1.882,1.882
A,30/04/1986,0.850000024,0,0.850000024,1.845,1.845
A,1/05/1986,0.050000001,0,0.050000001,1.807,1.807
A,2/05/1986,0,0,0,1.77,1.77
A,3/05/1986,0,0,0,1.732,1.732
A,4/05/1986,0.200000003,0,0.200000003,1.695,1.695
A,5/05/1986,0,0,0,1.658,1.658
A,6/05/1986,0.949999988,0,0.949999988,1.62,1.62
A,7/05/1986,0.400000006,0,0.400000006,1.583,1.583
A,8/05/1986,2.450000048,0,2.450000048,1.545,1.545
A,9/05/1986,3.400000095,0,3.400000095,1.508,1.508
A,10/05/1986,0.350000024,0,0.350000024,1.47,1.47
A,11/05/1986,0.600000024,0,0.600000024,1.433,1.433
A,12/05/1986,0,0,0,1.395,1.395
A,13/05/1986,0,0,0,1.358,1.358
A,14/05/1986,0.550000012,0,0.550000012,1.321,1.321
A,15/05/1986,10.69999981,0,10.69999981,1.283,1.283
A,16/05/1986,16.20000076,0,16.20000076,1.246,1.246
A,17/05/1986,5.149999619,0,5.149999619,1.229,1.229
A,18/05/1986,18.60000038,0,18.60000038,1.213,1.213
A,19/05/1986,1.350000024,0,1.350000024,1.196,1.196
A,20/05/1986,3.699999809,0,3.699999809,1.18,1.18
A,21/05/1986,0.300000012,0,0.300000012,1.163,1.163
A,22/05/1986,5.400000095,0,5.400000095,1.147,1.147
A,23/05/1986,14.39999962,0,14.39999962,1.131,1.131
A,24/05/1986,1.049999952,0,1.049999952,1.114,1.114
A,25/05/1986,1.400000095,0,1.400000095,1.098,1.098
A,26/05/1986,0,0,0,1.081,1.081
A,27/05/1986,0.050000001,0,0.050000001,1.065,1.065
A,28/05/1986,0.75,0,0.75,1.049,1.049
A,29/05/1986,0.300000012,0,0.300000012,1.032,1.032
A,30/05/1986,0,0,0,1.016,1.016
A,31/05/1986,0,0,0,0.999,0.999
A,1/06/1986,0.100000001,0,0.100000001,0.983,0.983
A,2/06/1986,0.100000001,0,0.100000001,0.966,0.966
A,3/06/1986,0.899999976,0,0.899999976,0.95,0.95
A,4/06/1986,0.300000012,0,0.300000012,0.934,0.934
A,5/06/1986,0,0,0,0.917,0.917
